Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
SAMD7	0.0	0.028	0.0
SAMD8	19.055	10.276	9.264
SAMD9	13.052	0.229	1.759
SAMD9L	9.276	0.583	2.323
SAMHD1	191.03	7.603	71.537
SAMM50	7.75	10.436	14.05
SAMSN1	20.441	0.701	1.038
SAP130	24.14	52.643	6.005
SAP18	32.728	39.935	55.337
SAP25	130.047	25.357	14.469
SAP30	0.589	40.187	15.239
SAP30BP	25.229	32.529	26.402
SAP30L	12.208	9.478	6.072
SAPCD1	3.953	6.15	0.35
SAPCD2	0.095	9.593	0.18
SAR1A	48.368	20.613	33.738
SAR1B	7.556	2.544	13.549
SARAF	933.512	123.784	85.356
SARDH	5.613	1.525	0.872
SARM1	14.908	22.026	2.661
SARNP	9.378	33.041	24.797
SARS	42.978	54.438	40.011
SARS2	4.569	14.303	8.74
SART1	27.278	20.869	23.658
SART3	16.69	12.591	7.001
SASH1	0.009	3.322	10.344
SASH3	46.66	1.25	0.967
SASS6	2.421	2.696	1.56
SAT1	64.972	43.074	198.108
SAT2	26.479	67.346	102.108
SATB1	119.966	27.545	10.147
SATB2	0.045	1.023	0.551
SATL1	0.55	0.188	0.067
SAV1	2.387	3.614	12.714
SAXO1	0.288	0.0	0.0
SAXO2	0.632	0.631	0.354
SAYSD1	12.125	9.557	9.096
SBDS	202.975	32.927	188.149
SBF1	60.847	45.969	29.544
SBF2	3.446	11.287	2.925
SBK1	9.809	103.63	1.459
SBK2	0.0	0.0	232.329
SBK3	0.0	0.0	86.721
SBNO1	13.562	7.788	6.717
SBNO2	33.4	6.475	12.14
SBSN	0.022	0.021	0.017
SBSPON	0.706	0.097	2.036
SC5D	30.675	12.635	11.806
SCAF1	15.071	37.514	24.739
SCAF11	30.593	5.202	6.639
SCAF4	35.61	24.002	7.484
SCAF8	58.453	27.446	12.263
SCAI	8.133	5.783	0.844
SCAMP2	65.739	19.353	24.797
SCAMP3	28.522	29.67	26.545
SCAMP4	5.268	13.994	6.198
SCAMP5	0.407	64.165	4.545
SCAND1	22.372	25.396	47.587
SCAP	25.991	26.878	17.049
SCAPER	11.928	16.229	5.303
SCARA3	0.005	37.548	4.634
SCARA5	0.0	0.061	40.243
SCARB1	0.956	12.289	4.554
SCARB2	16.549	65.362	44.039
SCARF1	0.596	1.008	7.273
SCARF2	3.96	4.162	3.419
SCCPDH	3.955	33.218	25.649
SCD	1.814	149.024	130.07
SCD5	0.094	57.449	4.504
SCEL	0.0	0.096	0.052
SCFD1	10.213	7.522	8.943
SCFD2	8.305	5.627	5.067
SCG2	0.016	5.525	0.349
SCG3	0.013	64.223	0.069
SCG5	0.153	26.961	0.217
SCGB1A1	0.0	0.0	0.0
SCGB1C1	0.062	0.0	0.0
SCGB1D1	0.0	0.0	0.0
SCGB1D2	0.0	0.0	0.643
SCGB1D4	0.0	0.0	0.0
SCGB2A1	0.0	0.0	0.0
SCGB2A2	0.0	0.0	0.0
SCGB2B2	2.262	1.064	0.718
SCGB3A1	0.0	0.13	0.077
SCGB3A2	0.0	0.013	0.085
SCGN	0.005	118.705	5.835
SCHIP1	0.039	20.625	26.709
SCIMP	1.562	0.424	0.196
SCIN	0.162	0.414	0.154
SCLT1	3.012	3.353	2.013
SCLY	3.366	2.225	1.526
SCMH1	11.611	22.883	31.343
SCML1	50.095	7.357	4.803
SCML2	0.789	8.777	0.736
SCML4	34.903	0.107	0.051
SCN10A	0.0	0.0	0.091
SCN11A	0.185	0.339	0.006
SCN1A	0.0	1.944	0.048
SCN1B	0.741	0.576	72.949
SCN2A	0.007	1.986	0.025
SCN2B	0.022	0.512	4.732
SCN3A	0.074	17.764	0.584
SCN3B	0.055	24.375	0.259
SCN4A	0.038	0.073	0.95
SCN4B	0.0	2.182	7.179
SCN5A	0.159	0.534	63.718
SCN7A	0.003	0.085	9.78
SCN8A	0.13	9.577	0.042
SCN9A	0.161	2.176	0.345
SCNM1	8.851	21.172	5.461
SCNN1A	1.879	0.005	0.072
SCNN1B	0.015	0.192	0.096
SCNN1D	6.048	9.753	2.618
SCNN1G	0.0	0.008	0.039
SCO1	22.323	6.104	22.462
SCO2	5.373	4.775	21.422
SCOC	7.961	19.363	62.118
SCP2	7.777	8.247	31.275
SCP2D1	0.0	0.0	0.0
SCPEP1	13.797	1.751	61.256
SCRG1	0.0	30.897	3.908
SCRIB	9.482	27.902	17.064
SCRN1	2.583	41.629	9.917
SCRN2	19.101	12.69	44.644
SCRN3	5.421	8.127	10.13
SCRT2	0.0	53.178	0.0
SCT	0.288	0.055	0.724
SCTR	0.0	0.641	0.17
SCUBE1	0.017	0.935	0.133
SCUBE2	0.031	2.031	0.13
SCUBE3	0.586	0.707	0.504
SCYL1	22.074	23.045	26.405
SCYL2	11.591	12.341	5.918
SCYL3	8.577	3.349	2.529
SDAD1	17.083	8.673	11.406
SDC1	0.066	2.393	0.121
SDC2	0.009	8.877	24.637
SDC3	0.012	94.236	32.477
SDC4	0.082	1.954	78.073
SDCBP	79.18	48.177	52.874
SDCBP2	0.83	4.568	1.189
SDCCAG3	12.536	9.473	8.059
SDCCAG8	9.11	6.371	5.746
SDE2	30.413	4.401	10.232
SDF2	9.322	16.689	19.511
SDF2L1	6.326	4.534	22.235
SDF4	19.738	25.17	72.619
SDHA	17.89	12.631	115.992
SDHAF1	4.858	8.824	9.77
SDHAF2	22.469	12.74	25.732
SDHAF3	3.823	4.765	13.71
SDHAF4	2.473	3.333	21.552
SDHB	25.349	27.427	129.033
SDHC	8.348	18.251	60.832
SDHD	20.404	15.644	141.801
SDK1	0.733	5.647	1.021
SDK2	4.875	7.543	0.746
SDPR	0.053	3.361	83.286
SDR16C5	0.0	0.116	0.052
SDR39U1	72.778	41.59	44.228
SDR42E1	3.532	0.227	0.881
SDR42E2	0.663	0.165	0.0
SDR9C7	0.049	0.184	0.07
SDS	0.279	0.178	0.203
SDSL	0.0	0.93	4.656
SEC11A	11.305	14.545	17.048
SEC11C	11.746	31.694	13.472
SEC13	17.38	18.398	18.858
SEC14L1	12.857	21.52	29.261
SEC14L2	12.286	1.87	0.614
SEC14L3	0.118	0.0	0.0
SEC14L4	0.0	0.08	0.0
SEC14L5	0.0	0.106	1.7
SEC14L6	0.0	0.584	0.076
SEC16A	31.369	13.562	9.118
SEC16B	0.012	0.705	2.08
SEC22A	4.956	5.058	3.354
SEC22C	18.05	8.185	7.196
SEC23A	8.418	7.55	17.744
SEC23B	10.932	22.552	3.412
SEC23IP	9.038	5.544	7.933
SEC24A	8.149	5.751	2.95
SEC24B	57.179	47.404	11.158
SEC24C	46.012	30.655	24.914
SEC24D	2.365	1.795	2.759
SEC31A	24.889	39.01	21.215
SEC31B	42.012	13.184	42.974
SEC61A1	40.238	41.554	39.371
SEC61A2	8.683	12.281	6.756
SEC61B	26.453	42.55	31.484
SEC61G	21.139	31.748	38.452
SEC62	24.278	24.207	23.333
SEC63	15.242	11.749	14.355
SECISBP2	38.747	15.064	5.054
SECISBP2L	24.163	12.655	8.548
SECTM1	0.746	1.306	1.971
SEH1L	9.896	8.857	7.016
SEL1L	15.168	4.415	12.531
SEL1L2	0.0	0.007	0.128
SEL1L3	17.65	26.062	0.693
SELE	0.043	0.007	2.745
SELENBP1	0.012	10.387	25.258
SELENOF	55.339	28.241	56.408
SELENOH	25.984	33.257	58.885
SELENOI	10.037	4.77	4.001
SELENOK	39.596	27.588	79.385
SELENOM	10.384	3.307	41.672
SELENON	42.794	121.987	26.726
SELENOO	26.614	24.045	14.321
SELENOP	1.212	23.844	32.87
SELENOS	4.629	5.6	14.053
SELENOT	22.224	17.456	36.202
SELENOV	0.0	0.318	0.0
SELENOW	53.808	316.476	1205.41
SELL	430.713	0.14	0.587
SELP	2.303	0.008	3.966
SELPLG	80.854	5.916	1.585
SEM1	7.733	8.655	19.78
SEMA3A	1.41	2.942	1.312
SEMA3C	0.064	3.332	9.81
SEMA3D	0.0	0.158	0.476
SEMA3E	0.006	0.659	0.018
SEMA3F	0.097	7.467	7.577
SEMA3G	0.123	0.693	11.203
SEMA4A	1.267	8.469	1.23
SEMA4B	1.823	17.122	7.955
SEMA4C	16.922	13.478	12.093
SEMA4D	69.272	1.574	3.315
SEMA4F	4.239	4.186	1.764
SEMA4G	1.322	9.318	1.298
SEMA5A	0.205	10.053	7.434
SEMA5B	0.065	95.206	1.696
SEMA6A	1.619	9.762	1.766
SEMA6B	0.098	7.692	10.482
SEMA6C	1.558	42.137	28.766
SEMA6D	0.0	5.801	4.584
SEMA7A	1.05	7.987	1.756
SEMG1	0.0	0.0	0.0
SEMG2	0.0	0.0	0.0
SENP1	9.774	5.357	1.787
SENP2	13.383	5.028	6.3
SENP3	21.658	22.435	25.454
SENP5	15.428	6.615	6.271
SENP6	21.239	7.955	7.255
SENP7	36.143	15.566	4.228
SENP8	0.204	2.943	2.895
SEPHS1	13.627	25.755	16.762
SEPHS2	23.399	5.761	34.038
SEPSECS	14.771	2.817	2.091
SEPT1	136.054	1.714	2.346
SEPT10	0.339	13.84	17.698
SEPT11	2.65	89.141	5.921
SEPT12	0.093	0.059	0.0
SEPT14	0.002	0.0	0.0
SEPT2	48.348	79.91	56.79
SEPT3	0.178	374.115	0.126
SEPT4	0.222	13.461	35.939
SEPT5	0.385	155.643	92.452
SEPT6	129.99	15.037	3.036
SEPT7	32.223	43.029	33.775
SEPT7P9	0.994	0.127	0.326
SEPT8	1.437	13.791	8.273
SEPT9	196.228	38.75	30.101
SERAC1	1.265	4.424	2.744
SERBP1	31.3	30.687	28.619
SERF1A	6.492	4.981	5.373
SERF1B	6.63	4.961	5.765
SERF2	32.17	38.442	135.136
SERGEF	8.805	7.981	6.82
SERHL2	7.787	0.78	2.004
SERINC1	153.189	110.103	118.428
SERINC2	0.061	17.345	1.619
SERINC3	33.997	20.991	50.412
SERINC4	9.641	0.896	0.929
SERINC5	48.093	18.048	0.712
SERP1	46.609	20.105	12.446
SERP2	0.139	21.383	15.897
SERPINA1	1.18	2.133	0.835
SERPINA10	0.022	0.0	0.014
SERPINA11	0.0	0.0	0.008
SERPINA12	0.0	0.0	0.0
SERPINA3	0.0	0.048	29.034
SERPINA4	0.0	0.0	0.0
SERPINA5	0.0	0.008	8.011
SERPINA6	0.042	0.0	0.012
SERPINA7	0.0	0.0	0.012
SERPINA9	0.0	0.0	0.0
SERPINB1	45.498	0.776	20.374
SERPINB10	0.713	0.01	0.0
SERPINB12	0.0	0.0	0.0
SERPINB13	0.0	0.0	0.003
SERPINB2	0.026	0.0	0.0
SERPINB3	0.0	0.0	0.0
SERPINB4	0.0	0.007	0.0
SERPINB5	0.0	0.0	0.0
SERPINB6	13.296	10.457	51.748
SERPINB7	0.0	0.0	0.0
SERPINB8	6.408	0.587	1.243
SERPINB9	19.044	0.837	4.231
SERPINC1	0.057	0.72	0.225
SERPIND1	0.57	0.347	1.472
SERPINE1	0.026	1.275	5.181
SERPINE2	2.327	14.471	6.215
SERPINE3	1.784	0.122	0.049
SERPINF1	3.652	9.457	153.152
SERPINF2	0.507	0.214	1.301
SERPING1	0.125	47.058	112.682
SERPINH1	1.679	23.391	25.577
SERPINI1	0.967	5.419	2.328
SERPINI2	0.03	0.128	0.886
SERTAD1	3.593	1.997	18.671
SERTAD2	31.732	14.09	9.179
SERTAD3	1.452	6.29	37.491
SERTAD4	0.0	5.828	1.584
SERTAD4-AS1	0.0	2.303	2.5
SERTM1	0.0	0.11	0.021
SESN1	47.021	4.531	23.496
SESN2	2.777	2.897	3.605
SESN3	85.067	26.737	3.447
SESTD1	2.297	12.534	3.501
SET	62.663	77.702	54.187
SETBP1	0.17	30.476	1.75
SETD1A	26.261	12.632	8.666
SETD1B	97.442	11.975	8.355
SETD2	37.757	20.686	7.763
SETD3	7.006	8.177	37.112
SETD4	5.964	5.378	2.267
SETD5	31.227	41.361	12.206
SETD6	13.29	3.936	3.681
SETD7	7.4	2.885	16.267
SETD9	0.363	0.56	3.604
SETDB1	19.956	14.433	4.72
SETDB2	10.807	1.554	4.936
SETMAR	7.493	7.453	7.796
SETX	22.586	5.918	7.258
SEZ6	0.893	38.138	0.011
SEZ6L	0.066	19.911	0.046
SEZ6L2	0.049	32.963	0.355
SF1	345.909	98.592	27.924
SF3A1	67.886	70.476	12.558
SF3A2	100.069	278.179	22.529
SF3A3	21.305	17.249	11.436
SF3B1	346.73	77.739	62.772
SF3B2	31.207	30.256	14.358
SF3B3	36.375	45.703	16.338
SF3B4	43.208	71.309	17.092
SF3B5	78.132	172.965	121.245
SF3B6	39.332	62.991	48.892
SFI1	53.899	5.46	1.519
SFMBT1	22.575	2.397	2.989
SFMBT2	42.686	2.021	2.468
SFN	0.983	0.086	0.209
SFPQ	212.852	84.745	32.972
SFR1	3.286	4.417	4.183
SFRP1	0.054	94.263	39.23
SFRP2	0.078	70.821	1.48
SFRP4	0.0	6.118	1.742
SFRP5	0.433	0.223	108.723
SFSWAP	24.189	14.14	5.976
SFT2D1	7.881	8.826	14.589
SFT2D2	25.301	12.725	3.369
SFT2D3	12.161	6.152	4.623
SFTA2	0.187	0.0	0.017
SFTA3	0.0	0.403	0.0
SFTPA1	0.046	0.0	0.0
SFTPA2	0.0	0.07	0.017
SFTPB	0.091	0.0	0.008
SFTPC	0.027	0.018	0.59
SFTPD	0.047	0.4	0.184
SFXN1	35.551	13.043	8.113
SFXN2	5.968	2.618	1.297
SFXN3	12.494	10.5	10.728
SFXN4	9.249	13.393	28.484
SFXN5	1.134	7.249	2.146
SGCA	0.047	0.052	76.4
SGCB	1.416	41.365	37.127
SGCD	0.027	0.939	18.795
SGCE	0.113	23.993	22.187
SGCG	0.0	0.227	80.622
SGCZ	0.019	0.389	0.01
SGF29	36.922	54.508	15.708
SGIP1	0.005	5.927	0.627
SGK1	12.027	1.546	10.292
SGK2	0.786	0.377	1.901
SGK3	4.365	1.502	2.917
SGMS1	9.852	2.884	10.78
SGMS2	0.037	0.054	3.148
SGO1	1.065	6.201	0.012
SGO2	0.384	4.735	0.578
SGPL1	10.215	21.061	4.121
SGPP1	15.523	4.132	5.807
SGPP2	9.79	0.658	5.173
SGSH	74.663	7.159	8.803
SGSM1	0.786	1.034	13.279
SGSM2	68.479	51.862	23.189
SGSM3	40.473	26.292	25.503
SGTA	20.072	67.709	89.347
SGTB	60.51	4.938	2.949
SH2B1	22.297	20.714	23.044
SH2B2	0.279	18.958	0.599
SH2B3	19.062	2.309	11.226
SH2D1A	35.387	0.0	0.078
SH2D1B	0.24	0.02	0.049
SH2D2A	6.606	0.228	1.083
SH2D3A	28.724	1.178	0.246
SH2D3C	7.63	9.556	11.378
SH2D4A	0.719	0.105	1.198
SH2D4B	0.075	0.134	0.008
SH2D5	0.055	0.467	0.067
SH2D6	0.017	0.057	0.085
SH2D7	0.117	0.06	0.108
SH3BGR	0.99	2.63	90.074
SH3BGRL	57.747	102.22	47.502
SH3BGRL2	0.574	2.22	6.65
SH3BGRL3	129.508	247.544	33.908
SH3BP1	19.941	16.013	5.827
SH3BP2	6.539	14.519	5.689
SH3BP4	0.339	15.398	9.401
SH3BP5	27.62	25.573	9.812
SH3BP5L	4.292	8.666	10.538
SH3D19	7.622	1.677	33.495
SH3D21	0.908	0.919	2.55
SH3GL1	18.28	56.415	28.483
SH3GL2	0.0	9.619	0.065
SH3GL3	0.0	3.48	0.532
SH3GLB1	21.108	24.215	30.837
SH3GLB2	20.488	19.291	12.045
SH3KBP1	37.95	5.308	11.537
SH3PXD2A	8.544	5.988	14.466
SH3PXD2B	0.157	17.449	2.533
SH3RF1	0.061	9.343	3.092
SH3RF2	0.241	0.281	57.556
SH3RF3	5.927	12.473	6.672
SH3TC1	4.674	0.309	1.677
SH3TC2	0.0	0.016	1.56
SH3YL1	12.535	4.248	2.299
SHANK1	0.037	5.981	0.408
SHANK2	0.001	4.889	0.034
SHANK3	0.063	8.486	24.72
SHARPIN	22.194	34.153	33.378
SHB	0.296	14.648	15.495
SHBG	0.059	0.372	0.473
SHC1	26.817	5.74	26.272
SHC2	0.048	36.686	19.724
SHC3	0.059	4.108	0.254
SHC4	0.035	0.689	1.635
SHCBP1	0.58	3.745	0.265
SHCBP1L	0.014	0.029	0.035
SHD	0.36	12.972	16.37
SHE	0.108	0.116	9.256
SHF	0.638	14.648	4.23
SHH	0.18	0.185	0.0
SHISA2	0.136	0.155	0.063
SHISA3	0.022	0.416	12.558
SHISA4	0.176	30.681	42.53
SHISA5	39.293	75.071	23.25
SHISA6	0.0	3.625	0.067
SHISA7	0.057	20.423	0.038
SHISA8	0.0	0.203	0.203
SHISA9	0.009	3.027	0.234
SHKBP1	38.701	14.079	12.461
SHMT1	3.341	3.709	3.99
SHMT2	6.381	15.822	7.443
SHOC2	16.094	8.702	19.863
SHOX	0.0	0.0	0.009
SHOX2	0.0	0.02	4.918
SHPK	5.231	14.134	4.11
SHPRH	6.085	2.598	1.824
SHQ1	3.588	1.49	5.64
SHROOM1	0.062	0.712	2.632
SHROOM2	0.0	7.976	0.549
SHROOM3	0.0	2.69	2.18
SHROOM4	0.023	0.663	5.378
SHTN1	0.582	86.937	1.889
SI	0.0	0.0	0.02
SIAE	7.908	1.856	18.305
SIAH1	37.186	24.605	8.229
SIAH2	29.197	46.789	9.948
SIAH3	0.848	1.751	0.0
SIDT1	20.756	0.257	0.11
SIDT2	19.733	8.778	9.115
SIGIRR	77.298	9.344	11.899
SIGLEC1	0.035	0.047	4.057
SIGLEC10	0.485	1.962	0.533
SIGLEC11	2.587	6.433	2.399
SIGLEC12	0.041	0.04	0.041
SIGLEC14	0.684	1.205	0.901
SIGLEC15	0.126	0.0	0.043
SIGLEC16	0.701	0.068	0.476
SIGLEC17P	1.242	0.056	0.067
SIGLEC5	0.555	0.429	0.306
SIGLEC6	0.084	0.021	0.018
SIGLEC7	0.049	0.958	0.639
SIGLEC8	0.0	1.464	0.007
SIGLEC9	0.673	1.002	1.248
SIGLECL1	0.0	0.0	0.0
SIGMAR1	13.683	58.626	26.405
SIK1	40.473	10.517	38.171
SIK2	5.904	10.723	8.634
SIK3	22.564	9.266	6.313
SIKE1	14.532	5.505	7.69
SIL1	5.191	2.717	18.274
SIM1	0.0	0.0	0.0
SIM2	0.198	0.007	0.013
SIMC1	5.405	12.998	1.665
SIN3A	44.285	18.843	8.237
SIN3B	35.373	34.8	15.354
SIPA1	40.209	5.973	10.188
SIPA1L1	10.909	8.432	1.146
SIPA1L2	0.152	13.682	28.059
SIPA1L3	8.9	10.333	4.155
SIRPA	0.364	16.668	20.229
SIRPB1	1.974	0.333	0.261
SIRPB2	0.035	0.403	0.829
SIRPD	0.076	0.0	0.012
SIRPG	30.263	0.038	0.025
SIRT1	24.123	11.195	8.104
SIRT2	7.139	46.616	31.334
SIRT3	6.886	7.64	10.913
SIRT4	0.75	2.382	5.323
SIRT5	5.795	4.873	16.515
SIRT6	6.722	24.422	10.442
SIRT7	16.815	6.064	5.097
SIT1	22.037	0.0	0.107
SIVA1	36.36	10.563	21.47
SIX1	0.0	0.018	0.117
SIX2	0.0	0.064	0.83
SIX3	0.0	29.458	0.0
SIX4	0.0	0.302	1.059
SIX5	0.335	8.075	15.357
SIX6	0.0	0.0	0.0
SKA1	0.204	5.393	0.163
SKA2	2.563	28.869	17.35
SKA2P1	0.64	4.004	1.107
SKA3	0.127	10.857	0.056
SKAP1	107.184	0.116	0.359
SKAP2	0.971	2.242	4.467
SKI	43.097	29.116	35.587
SKIDA1	0.085	3.232	0.992
SKIL	7.16	5.489	4.363
SKIV2L	21.411	9.618	10.15
SKIV2L2	14.413	12.431	13.76
SKOR1	1.144	0.347	0.114
SKOR2	0.0	0.0	0.0
SKP1	48.723	62.701	75.778
SKP2	3.591	11.293	2.248
SLA	26.154	0.737	1.109
SLA2	23.763	0.085	0.329
SLAIN1	11.634	154.581	4.486
SLAIN2	8.058	10.768	13.489
SLAMF1	13.565	0.023	0.184
SLAMF6	24.398	0.0	0.377
SLAMF7	2.004	0.006	0.042
SLAMF8	1.822	0.051	0.569
SLAMF9	0.052	0.049	0.027
SLBP	23.161	23.551	10.232
SLC10A1	0.604	0.0	0.009
SLC10A2	0.0	0.0	0.0
SLC10A3	9.081	2.987	15.015
SLC10A4	0.095	6.084	0.097
SLC10A5	0.513	0.233	0.204
SLC10A6	0.057	0.028	0.573
SLC10A7	3.779	1.773	0.973
SLC11A1	0.609	0.968	3.741
SLC11A2	16.84	4.924	6.924
SLC12A1	0.011	0.044	0.0
SLC12A2	2.29	1.359	1.88
SLC12A3	0.031	0.005	0.0
SLC12A4	8.575	12.147	38.647
SLC12A5	0.022	3.766	0.078
SLC12A6	63.328	21.141	2.748
SLC12A7	23.633	9.848	22.33
SLC12A8	0.751	1.721	0.455
SLC12A9	13.947	4.979	2.641
SLC13A1	0.0	0.0	0.0
SLC13A2	0.0	0.0	0.004
SLC13A3	0.122	1.862	0.225
SLC13A4	1.018	0.488	0.051
SLC13A5	0.427	1.435	0.007
SLC14A1	3.105	0.408	9.32
SLC14A2	0.011	0.08	0.048
SLC15A1	0.0	0.0	0.01
SLC15A2	0.875	6.695	1.331
SLC15A3	2.053	1.206	4.661
SLC15A4	3.926	4.873	8.458
SLC15A5	0.0	0.01	0.0
SLC16A1	2.727	12.858	24.431
SLC16A10	7.392	0.683	1.751
SLC16A11	0.815	0.138	6.1
SLC16A12	0.025	0.36	3.217
SLC16A13	1.369	1.111	1.004
SLC16A14	0.208	6.315	1.361
SLC16A2	0.077	25.76	6.271
SLC16A3	1.943	5.638	15.863
SLC16A4	0.594	1.343	2.343
SLC16A5	4.452	0.739	11.685
SLC16A6	4.208	0.863	0.204
SLC16A6P1	2.156	0.226	0.039
SLC16A7	8.576	0.952	3.52
SLC16A8	0.342	0.728	0.35
SLC16A9	0.0	4.286	0.538
SLC17A1	0.0	0.0	0.022
SLC17A2	0.0	0.0	0.0
SLC17A3	0.0	0.0	0.019
SLC17A4	0.0	0.382	0.031
SLC17A5	5.53	4.042	5.776
SLC17A6	0.0	0.259	0.0
SLC17A7	0.028	1.218	1.084
SLC17A8	0.0	0.276	0.022
SLC17A9	3.275	0.193	1.797
SLC18A1	0.004	0.011	0.006
SLC18A2	4.412	0.32	0.083
SLC18A3	0.0	1.957	0.232
SLC18B1	17.197	7.752	2.916
SLC19A1	7.915	3.75	1.388
SLC19A2	4.131	3.337	24.926
SLC19A3	0.0	0.181	2.166
SLC1A1	0.5	3.694	1.113
SLC1A2	0.282	17.461	0.251
SLC1A3	0.02	67.145	12.172
SLC1A4	1.262	11.894	0.944
SLC1A5	1.081	18.532	10.796
SLC1A6	0.0	4.053	0.007
SLC1A7	0.03	0.01	0.346
SLC20A1	26.011	7.201	4.458
SLC20A2	9.539	3.825	23.307
SLC22A1	0.291	0.049	0.21
SLC22A10	0.0	0.014	0.018
SLC22A11	0.0	0.0	0.004
SLC22A12	0.0	0.0	0.0
SLC22A13	0.149	0.214	0.131
SLC22A14	0.081	0.104	0.069
SLC22A15	0.416	0.605	3.381
SLC22A16	0.068	0.022	0.006
SLC22A17	10.875	88.157	24.985
SLC22A18	6.232	0.551	12.738
SLC22A18AS	0.397	0.014	0.19
SLC22A2	0.0	0.002	0.015
SLC22A23	6.491	9.763	1.346
SLC22A24	0.0	0.0	0.0
SLC22A25	0.0	0.0	0.0
SLC22A3	0.019	0.224	0.789
SLC22A4	1.008	0.364	0.98
SLC22A5	3.765	1.102	2.529
SLC22A6	0.0	0.414	0.0
SLC22A7	0.165	0.106	0.006
SLC22A8	0.0	0.058	0.0
SLC22A9	0.0	0.012	0.0
SLC23A1	1.923	0.016	0.034
SLC23A2	28.313	14.234	5.398
SLC23A3	3.753	3.437	2.145
SLC24A1	6.634	0.588	0.819
SLC24A2	0.058	0.504	0.0
SLC24A3	0.033	7.502	0.721
SLC24A4	0.206	0.054	0.254
SLC24A5	1.683	0.081	0.012
SLC25A1	16.411	75.983	19.41
SLC25A10	5.115	12.32	102.527
SLC25A11	17.86	42.984	192.367
SLC25A12	5.629	13.213	44.505
SLC25A13	5.784	2.976	3.164
SLC25A14	4.329	4.7	2.758
SLC25A15	2.802	2.661	2.478
SLC25A16	13.612	3.366	8.733
SLC25A17	4.188	9.308	2.392
SLC25A18	0.105	3.333	1.067
SLC25A19	3.017	3.563	7.801
SLC25A2	0.307	0.0	0.155
SLC25A20	3.746	5.352	42.762
SLC25A21	0.0	0.274	0.663
SLC25A21-AS1	0.0	2.417	3.011
SLC25A22	4.809	16.838	2.663
SLC25A23	12.165	73.049	43.773
SLC25A24	4.081	6.714	9.332
SLC25A25	4.9	10.038	4.441
SLC25A26	13.603	2.501	6.121
SLC25A27	0.625	8.483	7.119
SLC25A28	58.046	19.669	27.177
SLC25A29	3.193	47.322	7.201
SLC25A3	124.003	63.023	308.619
SLC25A30	9.09	1.466	17.238
SLC25A31	0.0	0.0	0.019
SLC25A32	10.761	2.024	9.635
SLC25A33	6.916	2.452	19.319
SLC25A34	2.397	1.438	8.164
SLC25A35	12.751	0.987	2.512
SLC25A36	39.275	14.44	17.567
SLC25A37	13.509	8.53	12.418
SLC25A38	48.873	22.082	14.043
SLC25A39	42.715	63.04	63.285
SLC25A4	2.614	39.093	2173.0
SLC25A40	5.657	3.754	5.824
SLC25A41	0.024	0.846	0.397
SLC25A42	18.876	8.295	9.512
SLC25A43	1.459	5.691	3.904
SLC25A44	8.956	5.981	4.929
SLC25A45	25.896	0.05	2.186
SLC25A46	10.149	6.494	9.942
SLC25A47	0.059	0.016	0.038
SLC25A48	0.0	1.276	0.082
SLC25A5	115.297	189.3	97.882
SLC25A51	5.605	4.278	6.801
SLC25A52	0.13	0.118	0.173
SLC25A6	312.708	715.434	153.818
SLC26A1	4.323	1.775	0.202
SLC26A10	0.01	3.923	2.209
SLC26A11	15.241	9.101	3.433
SLC26A2	3.15	0.747	2.364
SLC26A3	0.049	0.0	0.095
SLC26A4	0.152	0.038	0.201
SLC26A5	0.208	0.0	0.066
SLC26A6	4.553	2.561	4.125
SLC26A7	0.152	0.214	0.321
SLC26A8	0.126	0.67	0.009
SLC26A9	0.0	0.035	10.07
SLC27A1	4.732	19.638	32.872
SLC27A2	0.416	0.174	0.135
SLC27A3	1.803	6.178	6.008
SLC27A4	4.193	8.604	20.083
SLC27A5	2.066	2.88	1.521
SLC27A6	0.0	0.094	23.201
SLC28A1	0.0	0.107	0.253
SLC28A2	0.001	0.014	0.007
SLC28A3	0.008	0.006	0.01
SLC29A1	0.479	9.774	35.623
SLC29A2	16.954	3.984	26.169
SLC29A3	2.835	5.72	1.212
SLC29A4	0.233	49.781	11.551
SLC2A1	17.014	67.435	7.102
SLC2A10	0.0	6.546	3.843
SLC2A11	5.1	1.285	4.295
SLC2A12	0.239	1.537	11.694
SLC2A13	0.676	0.815	2.076
SLC2A14	3.129	0.932	0.153
SLC2A2	0.013	0.0	0.007
SLC2A3	96.994	26.596	8.954
SLC2A4	0.0	0.243	79.919
SLC2A4RG	65.75	14.53	22.56
SLC2A5	0.402	1.599	1.324
SLC2A6	1.619	2.932	3.09
SLC2A7	0.202	0.018	0.0
SLC2A8	0.161	6.012	6.133
SLC2A9	1.409	0.431	1.331
SLC30A1	1.769	2.991	6.604
SLC30A10	0.0	1.875	0.01
SLC30A2	0.006	0.003	0.317
SLC30A3	0.064	0.377	3.146
SLC30A4	1.483	2.071	2.161
SLC30A5	6.896	3.842	13.302
SLC30A6	8.176	3.893	4.937
SLC30A7	14.778	3.333	2.233
SLC30A8	0.0	0.015	0.007
SLC30A9	15.144	23.331	25.011
SLC31A1	2.011	6.589	5.505
SLC31A2	2.187	0.709	9.756
SLC32A1	0.0	60.081	0.0
SLC33A1	10.556	4.662	9.522
SLC34A1	0.028	0.0	0.0
SLC34A2	0.001	0.381	0.002
